Date,Open,High,Low,Close,Adj Close,Volume
2012-04-05,65.260002,65.379997,63.959999,64.129997,54.237820,37513400
2012-04-12,64.050003,64.279999,63.119999,63.259998,53.502018,73741900
2012-04-19,63.220001,64.580002,62.759998,64.430000,54.491554,59815800
2012-04-26,64.410004,65.389999,64.260002,65.330002,55.252728,49705800
2012-05-03,65.400002,65.489998,64.250000,64.279999,54.364685,52262200
2012-05-10,64.809998,64.989998,63.410000,63.709999,53.882607,103732800
2012-05-17,63.709999,64.000000,62.880001,63.270000,53.510479,50238100
2012-05-24,62.889999,63.340000,62.000000,62.209999,52.613979,40022300
2012-05-31,62.360001,62.880001,61.709999,62.799999,53.630039,55644100
2012-06-07,63.180000,64.699997,61.830002,64.449997,55.039104,161530800
2012-06-14,64.349998,67.000000,64.290001,67.000000,57.216770,130927700
2012-06-21,66.550003,67.199997,66.139999,66.839996,57.080116,85939700
2012-06-28,66.709999,68.120003,66.440002,68.040001,58.104900,51852000
2012-07-05,67.919998,68.150002,67.360001,67.900002,57.985340,58979600
2012-07-12,67.620003,69.459999,67.440002,69.370003,59.240700,82462600
2012-07-19,69.250000,69.699997,67.000000,67.529999,57.669365,61263400
2012-07-26,68.300003,69.750000,68.209999,69.379997,59.249233,60868200
2012-08-02,68.809998,69.339996,68.019997,68.349998,58.369637,50999500
2012-08-09,68.330002,68.839996,68.120003,68.349998,58.369637,40175300
2012-08-16,68.440002,68.449997,67.510002,67.750000,57.857250,55939000
2012-08-23,67.800003,67.959999,67.059998,67.370003,57.532742,45481500
2012-08-30,67.230003,67.900002,66.849998,67.269997,57.969353,37493200
2012-09-06,67.709999,68.550003,67.519997,68.150002,58.727684,49972500
2012-09-13,68.010002,69.169998,68.000000,68.599998,59.115459,55588800
2012-09-20,68.410004,69.639999,68.330002,69.000000,59.460167,58447800
2012-09-27,69.089996,69.449997,68.500000,69.000000,59.460167,46814200
2012-10-04,69.099998,69.739998,67.980003,68.220001,58.787998,51346400
2012-10-11,68.209999,71.180000,67.800003,71.000000,61.183647,73270500
2012-10-18,70.870003,72.739998,70.529999,70.739998,60.959599,85673500
2012-10-25,71.010002,71.559998,70.480003,70.820000,61.028538,28588500
2012-11-01,71.099998,71.900002,69.699997,70.339996,60.614868,46694400
2012-11-08,70.150002,70.419998,69.029999,69.269997,59.692829,51640000
2012-11-15,68.989998,69.879997,68.510002,69.589996,59.968597,55912700
2012-11-22,69.080002,69.559998,68.599998,69.290001,59.710064,34081300
2012-11-29,69.470001,70.489998,69.050003,69.970001,60.829258,58578200
2012-12-06,70.339996,71.620003,69.800003,70.959999,61.689930,55897800
2012-12-13,70.900002,71.309998,70.489998,70.629997,61.403057,61637700
2012-12-20,70.739998,70.900002,69.879997,70.169998,61.003132,46661900
2012-12-27,70.129997,71.019997,69.180000,70.839996,61.585594,46035700
2013-01-03,70.980003,71.849998,70.449997,71.730003,62.359341,46277000
2013-01-10,71.809998,72.820000,71.739998,72.580002,63.098274,43616200
2013-01-17,72.879997,73.230003,72.370003,72.849998,63.333008,45753600
2013-01-24,72.959999,74.800003,72.839996,74.089996,64.411034,50844100
2013-01-31,74.080002,75.389999,73.559998,75.389999,65.541206,51980500
